6.14E-01,,,
6.12E-01,,,
6.04E-01,,,
6.27E-01,,,
5.47E-01,,,
5.90E-01,,,
6.19E-01,,,
5.90E-01,,,
6.15E-01,,,
5.97E-01,,,
5.85E-01,,,0.588600654
6.22E-01,,,
5.87E-01,,,
6.34E-01,,,
5.58E-01,,,
6.20E-01,,,0.023963771
5.25E-01,,,
5.80E-01,,,
6.20E-01,,,
5.83E-01,,,
6.07E-01,,,
5.98E-01,,,
5.90E-01,,,
6.07E-01,,,
5.97E-01,,,
5.73E-01,,,
6.04E-01,,,
5.90E-01,,,
5.78E-01,,,
5.78E-01,,,
6.05E-01,,,
5.76E-01,,,
5.95E-01,,,
5.65E-01,,,
5.78E-01,,,
5.22E-01,,,
6.42E-01,,,
5.97E-01,,,
5.70E-01,,,
5.81E-01,,,
5.88E-01,,,
5.56E-01,,,
5.88E-01,,,
6.02E-01,,,
5.81E-01,,,
5.95E-01,,,
5.81E-01,,,
5.80E-01,,,
5.75E-01,,,
5.89E-01,,,
5.80E-01,,,
6.07E-01,,,
5.75E-01,,,
6.07E-01,,,
5.80E-01,,,
5.58E-01,,,
5.81E-01,,,
5.77E-01,,,
5.87E-01,,,
5.73E-01,,,
5.80E-01,,,
5.98E-01,,,
5.76E-01,,,
5.87E-01,,,
6.17E-01,,,
6.17E-01,,,
5.40E-01,,,
6.11E-01,,,
5.78E-01,,,
5.73E-01,,,
6.22E-01,,,
5.64E-01,,,
6.37E-01,,,
5.76E-01,,,
5.98E-01,,,
6.24E-01,,,
5.64E-01,,,
6.14E-01,,,
5.90E-01,,,
5.80E-01,,,
5.80E-01,,,
5.68E-01,,,
5.53E-01,,,
5.73E-01,,,
5.85E-01,,,
6.04E-01,,,
5.53E-01,,,
5.88E-01,,,
5.80E-01,,,
6.34E-01,,,
5.80E-01,,,
6.00E-01,,,
6.09E-01,,,
6.00E-01,,,
5.66E-01,,,
5.71E-01,,,
6.05E-01,,,
5.98E-01,,,
5.46E-01,,,
5.90E-01,,,
6.32E-01,,,
5.66E-01,,,
6.15E-01,,,
6.39E-01,,,
5.98E-01,,,
5.29E-01,,,
5.37E-01,,,
5.70E-01,,,
6.15E-01,,,
5.71E-01,,,
5.73E-01,,,
5.93E-01,,,
5.72E-01,,,
5.75E-01,,,
5.64E-01,,,
5.68E-01,,,
6.00E-01,,,
5.73E-01,,,
5.59E-01,,,
5.64E-01,,,
6.07E-01,,,
6.22E-01,,,
6.37E-01,,,
5.63E-01,,,
5.59E-01,,,
6.02E-01,,,
5.90E-01,,,
5.80E-01,,,
5.63E-01,,,
6.15E-01,,,
5.61E-01,,,
5.81E-01,,,
5.88E-01,,,
5.83E-01,,,
5.87E-01,,,
6.30E-01,,,
5.78E-01,,,
5.71E-01,,,
5.92E-01,,,
5.98E-01,,,
6.07E-01,,,
5.88E-01,,,
5.56E-01,,,
5.66E-01,,,
5.56E-01,,,
5.92E-01,,,
5.14E-01,,,
6.05E-01,,,
5.87E-01,,,
6.14E-01,,,
6.07E-01,,,
5.98E-01,,,
6.15E-01,,,
6.24E-01,,,
5.81E-01,,,
5.69E-01,,,
5.87E-01,,,
6.24E-01,,,
5.92E-01,,,
5.97E-01,,,
5.88E-01,,,
6.18E-01,,,
6.20E-01,,,
5.95E-01,,,
6.04E-01,,,
6.04E-01,,,
5.98E-01,,,
6.44E-01,,,
5.71E-01,,,
5.73E-01,,,
6.37E-01,,,
5.49E-01,,,
6.10E-01,,,
6.00E-01,,,
5.90E-01,,,
5.75E-01,,,
5.81E-01,,,
6.14E-01,,,
5.70E-01,,,
6.20E-01,,,
5.76E-01,,,
5.90E-01,,,
5.44E-01,,,
5.49E-01,,,
6.12E-01,,,
5.90E-01,,,
5.58E-01,,,
5.63E-01,,,
5.97E-01,,,
6.19E-01,,,
5.76E-01,,,
5.75E-01,,,
6.02E-01,,,
5.56E-01,,,
5.88E-01,,,
5.97E-01,,,
6.07E-01,,,
5.95E-01,,,
5.88E-01,,,
6.09E-01,,,
