6.04E-01,,
6.22E-01,,
6.44E-01,,
6.10E-01,,0.616176041
6.06E-01,,
5.83E-01,,0.025137318
5.87E-01,,
6.06E-01,,
5.89E-01,,
5.92E-01,,
6.09E-01,,
6.17E-01,,
6.05E-01,,
6.19E-01,,
6.25E-01,,
6.64E-01,,
5.68E-01,,
6.42E-01,,
6.37E-01,,
6.06E-01,,
6.57E-01,,
6.04E-01,,
6.39E-01,,
6.64E-01,,
6.38E-01,,
6.04E-01,,
6.34E-01,,
6.46E-01,,
6.19E-01,,
6.32E-01,,
5.93E-01,,
6.70E-01,,
6.25E-01,,
6.00E-01,,
6.36E-01,,
6.34E-01,,
6.29E-01,,
5.35E-01,,
6.29E-01,,
6.32E-01,,
6.19E-01,,
5.90E-01,,
6.00E-01,,
5.87E-01,,
6.25E-01,,
6.17E-01,,
5.87E-01,,
6.02E-01,,
5.93E-01,,
5.80E-01,,
6.57E-01,,
6.09E-01,,
6.57E-01,,
6.40E-01,,
6.34E-01,,
6.49E-01,,
6.02E-01,,
5.85E-01,,
6.36E-01,,
6.15E-01,,
5.80E-01,,
6.04E-01,,
6.53E-01,,
5.87E-01,,
5.80E-01,,
6.34E-01,,
6.10E-01,,
5.93E-01,,
6.44E-01,,
6.15E-01,,
6.19E-01,,
6.39E-01,,
6.59E-01,,
6.45E-01,,
6.00E-01,,
6.80E-01,,
6.19E-01,,
6.45E-01,,
6.12E-01,,
6.29E-01,,
6.22E-01,,
6.02E-01,,
6.06E-01,,
5.66E-01,,
5.97E-01,,
6.12E-01,,
6.15E-01,,
6.25E-01,,
6.09E-01,,
5.95E-01,,
6.36E-01,,
6.24E-01,,
6.53E-01,,
6.40E-01,,
6.30E-01,,
6.36E-01,,
6.21E-01,,
6.00E-01,,
6.12E-01,,
5.97E-01,,
5.90E-01,,
6.49E-01,,
6.27E-01,,
5.40E-01,,
5.46E-01,,
6.04E-01,,
6.02E-01,,
6.24E-01,,
6.25E-01,,
5.89E-01,,
5.85E-01,,
6.36E-01,,
6.09E-01,,
6.10E-01,,
5.74E-01,,
6.19E-01,,
6.15E-01,,
5.53E-01,,
6.54E-01,,
5.95E-01,,
5.75E-01,,
6.04E-01,,
6.51E-01,,
6.02E-01,,
6.22E-01,,
6.27E-01,,
5.92E-01,,
5.93E-01,,
5.85E-01,,
6.12E-01,,
6.21E-01,,
6.10E-01,,
6.44E-01,,
5.89E-01,,
6.04E-01,,
6.29E-01,,
6.10E-01,,
6.00E-01,,
6.02E-01,,
6.27E-01,,
5.75E-01,,
6.21E-01,,
6.02E-01,,
6.21E-01,,
6.42E-01,,
6.24E-01,,
6.06E-01,,
5.75E-01,,
6.51E-01,,
6.27E-01,,
6.04E-01,,
6.31E-01,,
6.10E-01,,
5.81E-01,,
6.09E-01,,
6.64E-01,,
5.97E-01,,
6.25E-01,,
6.25E-01,,
5.92E-01,,
6.64E-01,,
6.57E-01,,
6.62E-01,,
6.40E-01,,
6.02E-01,,
6.15E-01,,
5.97E-01,,
6.15E-01,,
6.36E-01,,
6.32E-01,,
6.24E-01,,
6.19E-01,,
5.92E-01,,
6.00E-01,,
6.34E-01,,
6.24E-01,,
6.40E-01,,
5.98E-01,,
6.38E-01,,
6.22E-01,,
6.17E-01,,
6.24E-01,,
6.63E-01,,
5.85E-01,,
6.10E-01,,
6.23E-01,,
6.04E-01,,
6.14E-01,,
6.23E-01,,
6.61E-01,,
6.10E-01,,
6.34E-01,,
6.36E-01,,
5.90E-01,,
6.47E-01,,
6.10E-01,,
5.81E-01,,
6.05E-01,,
6.27E-01,,
6.53E-01,,
